# Q I dI dQ
7.318579999999999877e-03 1.534559999999999945e+03 2.757730000000000103e+01 2.749619999999999929e-03
7.800790000000000154e-03 1.501529999999999973e+03 2.055290000000000106e+01 2.754589999999999903e-03
8.294060000000000668e-03 1.372420000000000073e+03 1.564429999999999943e+01 2.758370000000000006e-03
8.792899999999999328e-03 1.201109999999999900e+03 1.238620000000000054e+01 2.761319999999999834e-03
9.286660000000000401e-03 1.045009999999999991e+03 9.915829999999999700e+00 2.763629999999999993e-03
9.773369999999999974e-03 7.621770000000000209e+02 7.100039999999999907e+00 2.765479999999999848e-03
1.026610000000000023e-02 5.760539999999999736e+02 5.335340000000000416e+00 2.767040000000000124e-03
1.075760000000000084e-02 3.806879999999999882e+02 3.779279999999999973e+00 2.768360000000000092e-03
1.124700000000000005e-02 2.857599999999999909e+02 2.870319999999999983e+00 2.769470000000000005e-03
1.173919999999999998e-02 2.227460000000000093e+02 2.337079999999999824e+00 2.770439999999999882e-03
1.222619999999999957e-02 2.075579999999999927e+02 2.220559999999999867e+00 2.771280000000000097e-03
1.272080000000000086e-02 1.964300000000000068e+02 2.030209999999999848e+00 2.772029999999999980e-03
1.321379999999999950e-02 1.918340000000000032e+02 2.027690000000000214e+00 2.772689999999999964e-03
1.369650000000000034e-02 1.805209999999999866e+02 1.890589999999999993e+00 2.778160000000000004e-03
1.418329999999999938e-02 1.697930000000000064e+02 1.762450000000000072e+00 2.785500000000000215e-03
1.467620000000000036e-02 1.582709999999999866e+02 1.631310000000000038e+00 2.791819999999999979e-03
1.517549999999999975e-02 1.535219999999999914e+02 1.570240000000000080e+00 2.797309999999999901e-03
1.566930000000000059e-02 1.503810000000000002e+02 1.557730000000000059e+00 2.802030000000000059e-03
1.615410000000000110e-02 1.482079999999999984e+02 1.508769999999999945e+00 2.806100000000000174e-03
1.664480000000000126e-02 1.512090000000000032e+02 1.492720000000000047e+00 2.809739999999999807e-03
1.713270000000000071e-02 1.505209999999999866e+02 1.473600000000000021e+00 2.812970000000000140e-03
1.761940000000000034e-02 1.508009999999999877e+02 1.441230000000000011e+00 2.815859999999999891e-03
1.811350000000000113e-02 1.538650000000000091e+02 1.443640000000000034e+00 2.818510000000000199e-03
1.860919999999999935e-02 1.487059999999999889e+02 1.390630000000000033e+00 2.820909999999999824e-03
1.910519999999999927e-02 1.436250000000000000e+02 1.336540000000000061e+00 2.823099999999999828e-03
1.959359999999999921e-02 1.387719999999999914e+02 1.333550000000000013e+00 2.825069999999999838e-03
2.007569999999999841e-02 1.266059999999999945e+02 1.232580000000000009e+00 2.826850000000000109e-03
2.056670000000000026e-02 1.127429999999999950e+02 1.113250000000000073e+00 2.835869999999999884e-03
2.106009999999999827e-02 1.013739999999999952e+02 1.040040000000000076e+00 2.844189999999999913e-03
2.155340000000000034e-02 8.699500000000000455e+01 9.436679999999999513e-01 2.851659999999999785e-03
2.204499999999999862e-02 7.422180000000000177e+01 8.488740000000000174e-01 2.858400000000000090e-03
2.253410000000000135e-02 6.389220000000000255e+01 7.821320000000000494e-01 2.864499999999999859e-03
2.302869999999999917e-02 5.775670000000000215e+01 7.263880000000000337e-01 2.870129999999999817e-03
2.351999999999999924e-02 5.032549999999999812e+01 6.759830000000000005e-01 2.875250000000000201e-03
2.400769999999999987e-02 4.746370000000000289e+01 6.442780000000000173e-01 2.879930000000000163e-03
2.449930000000000163e-02 4.448349999999999937e+01 6.144220000000000237e-01 2.884279999999999917e-03
2.499060000000000170e-02 4.129260000000000019e+01 5.835449999999999804e-01 2.888309999999999836e-03
2.548129999999999840e-02 3.878589999999999804e+01 5.625200000000000200e-01 2.892039999999999802e-03
2.596769999999999981e-02 3.679410000000000025e+01 5.477060000000000262e-01 2.895490000000000130e-03
2.645650000000000085e-02 3.491649999999999920e+01 5.273189999999999822e-01 2.898720000000000029e-03
2.695169999999999857e-02 3.224459999999999837e+01 4.911730000000000262e-01 2.904369999999999868e-03
2.744550000000000115e-02 2.976210000000000022e+01 4.736199999999999855e-01 2.914439999999999913e-03
2.793709999999999943e-02 2.664049999999999940e+01 4.446379999999999777e-01 2.923680000000000116e-03
2.842149999999999885e-02 2.404530000000000101e+01 4.289580000000000060e-01 2.932099999999999984e-03
2.891000000000000167e-02 2.244269999999999854e+01 4.032589999999999786e-01 2.939989999999999964e-03
2.940660000000000149e-02 2.078140000000000143e+01 3.854040000000000243e-01 2.947430000000000015e-03
2.989740000000000106e-02 1.966240000000000165e+01 3.793610000000000038e-01 2.954290000000000041e-03
3.038700000000000082e-02 1.798740000000000094e+01 3.558270000000000044e-01 2.960690000000000197e-03
